TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES
1701766362.5752;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766363.5751;#SYSTEM;6745237143;16941015461;3997796701;39178202
1701766363.5751;/sys/fs/cgroup/custom.slice/pg1;1286377973;2383761946;496563273;2243989
1701766363.5751;/sys/fs/cgroup/custom.slice/pg2;5383476928;14506690600;1499933696;36360534
1701766363.5751;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766364.5752;#SYSTEM;6757197641;16960517645;3993547454;39193999
1701766364.5752;/sys/fs/cgroup/custom.slice/pg1;1308797524;2424472150;500914814;2283917
1701766364.5752;/sys/fs/cgroup/custom.slice/pg2;5383526896;14506805455;1499944780;36360869
1701766364.5752;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766365.5777;#SYSTEM;6747150030;16944317321;3995578883;39191175
1701766365.5777;/sys/fs/cgroup/custom.slice/pg1;1284402887;2378608837;498408583;2235283
1701766365.5777;/sys/fs/cgroup/custom.slice/pg2;5383460311;14506646790;1499934399;36360485
1701766365.5777;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766366.5753;#SYSTEM;6710741448;16880540228;3996173299;39140545
1701766366.5753;/sys/fs/cgroup/custom.slice/pg1;1249734588;2310131468;498373642;2161401
1701766366.5753;/sys/fs/cgroup/custom.slice/pg2;5383542438;14506892678;1499948667;36361140
1701766366.5753;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766367.1777;#SYSTEM;6736558856;16933901368;3998529903;39198951
1701766367.1777;/sys/fs/cgroup/custom.slice/pg1;1275367467;2364265157;498475215;2228547
1701766367.1777;/sys/fs/cgroup/custom.slice/pg2;5374480690;14482477391;1497425096;36299941
1701766367.1777;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766368.1751;#SYSTEM;6760116324;16977252308;3998249389;39258456
1701766368.1751;/sys/fs/cgroup/custom.slice/pg1;1298361349;2403398154;498408224;2256723
1701766368.1751;/sys/fs/cgroup/custom.slice/pg2;5373446153;14479445449;1497135505;36292330
1701766368.1751;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766369.1756;#SYSTEM;6735762813;16931649676;3995631950;39217657
