TIMESTAMP;CGROUP;PERF_COUNT_HW_CACHE_MISSES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_SW_CPU_CLOCK
1683819784.716536;#SYSTEM;64685985;22508159656;22520646602;5994382991
1683819784.716536;/sys/fs/cgroup/anon.slice/anon_service.service;5108;169778;0;611564
1683819784.716536;/sys/fs/cgroup/test.slice/test;64673323;22506896840;0;5992574964
1683819785.715722;#SYSTEM;48041401;26182637001;22363351762;5992490349
1683819785.715722;/sys/fs/cgroup/anon.slice/anon_service.service;6503;170893;0;620722
1683819785.715722;/sys/fs/cgroup/test.slice/test;47985310;26179717607;0;5958952327
1683819786.714890;#SYSTEM;48294948;23628618470;22472505051;5993590728
1683819786.714890;/sys/fs/cgroup/anon.slice/anon_service.service;6764;168762;0;635154
1683819786.714890;/sys/fs/cgroup/test.slice/test;48260518;23627571277;0;5989214329
1683819787.714080;#SYSTEM;68074711;22352009098;22322794842;5993210429
1683819787.714080;/sys/fs/cgroup/anon.slice/anon_service.service;5093;170701;0;605740
1683819787.714080;/sys/fs/cgroup/test.slice/test;68012724;22350187893;0;5941807579
1683819788.713256;#SYSTEM;42639646;25571782390;22465274971;5993150759
1683819788.713256;/sys/fs/cgroup/anon.slice/anon_service.service;6765;178293;0;644037
1683819788.713256;/sys/fs/cgroup/test.slice/test;42602997;25567893682;0;5986474001
1683819789.712438;#SYSTEM;65039952;23827301262;22502787296;5994033177
1683819789.712438;/sys/fs/cgroup/anon.slice/anon_service.service;6788;169054;0;626887
1683819789.712438;/sys/fs/cgroup/test.slice/test;65019699;23826204885;0;5991203208
1683819790.711586;#SYSTEM;68082137;26032365183;22252965889;5992974902
1683819790.711586;/sys/fs/cgroup/anon.slice/anon_service.service;6666;172229;0;613934
1683819790.711586;/sys/fs/cgroup/test.slice/test;68023082;26031738052;0;5926162767
1683819791.710767;#SYSTEM;43812304;24229188571;22459769050;5993419124
1683819791.710767;/sys/fs/cgroup/anon.slice/anon_service.service;6536;168320;0;631357
1683819791.710767;/sys/fs/cgroup/test.slice/test;43773269;24227585865;0;5986490956
1683819792.709960;#SYSTEM;68940487;21973977439;22506670992;5994043298
1683819792.709960;/sys/fs/cgroup/anon.slice/anon_service.service;5383;169932;0;630061
1683819792.709960;/sys/fs/cgroup/test.slice/test;68920987;21972150292;0;5991328452
1683819793.709142;#SYSTEM;50664110;25873844209;22412805393;5992513557
1683819793.709142;/sys/fs/cgroup/anon.slice/anon_service.service;5378;172472;0;619553
1683819793.709142;/sys/fs/cgroup/test.slice/test;50601007;25872429097;0;5972017119
1683819794.708317;#SYSTEM;46688824;25353771578;22396512985;5993106883
1683819794.708317;/sys/fs/cgroup/anon.slice/anon_service.service;5109;169401;0;605864
1683819794.708317;/sys/fs/cgroup/test.slice/test;46626517;25349996682;0;5969751455
1683819795.707504;#SYSTEM;49706476;24916796346;22454019362;5993190270
1683819795.707504;/sys/fs/cgroup/anon.slice/anon_service.service;6564;169620;0;620024
1683819795.707504;/sys/fs/cgroup/test.slice/test;49658134;24912755708;0;5982598570
1683819796.706681;#SYSTEM;63211418;23099163068;22481324488;5993859046
1683819796.706681;/sys/fs/cgroup/anon.slice/anon_service.service;6612;167776;0;623634
1683819796.706681;/sys/fs/cgroup/test.slice/test;63177089;23097798454;0;5989492794
1683819797.705861;#SYSTEM;61530181;22627838824;22498560494;5994204491
1683819797.705861;/sys/fs/cgroup/anon.slice/anon_service.service;4968;168285;0;604823
1683819797.705861;/sys/fs/cgroup/test.slice/test;61508471;22626294019;0;5991063740
1683819798.705055;#SYSTEM;61074582;23863297308;22466737865;5993771401
1683819798.705055;/sys/fs/cgroup/anon.slice/anon_service.service;5213;170920;0;625324
1683819798.705055;/sys/fs/cgroup/test.slice/test;61000579;23854155237;0;5982658074
1683819799.704228;#SYSTEM;57533937;24225465828;22483089314;5993843055
1683819799.704228;/sys/fs/cgroup/anon.slice/anon_service.service;5329;169597;0;610301
1683819799.704228;/sys/fs/cgroup/test.slice/test;57501517;24224538136;0;5989744444
1683819800.703409;#SYSTEM;59918778;22597328850;22493852484;5993950831
1683819800.703409;/sys/fs/cgroup/anon.slice/anon_service.service;6584;168014;0;610738
1683819800.703409;/sys/fs/cgroup/test.slice/test;59882389;22594593843;0;5989831839
1683819801.702579;#SYSTEM;58162964;24307457093;22471984497;5993539349
1683819801.702579;/sys/fs/cgroup/anon.slice/anon_service.service;5079;169637;0;612323
1683819801.702579;/sys/fs/cgroup/test.slice/test;58126004;24306434327;0;5988416492
1683819802.701753;#SYSTEM;65175698;22413082837;22506102398;5994242910
1683819802.701753;/sys/fs/cgroup/anon.slice/anon_service.service;4889;169400;0;618640
1683819802.701753;/sys/fs/cgroup/test.slice/test;65161258;22413332421;0;5991378616
1683819803.700948;#SYSTEM;58343193;23816652383;22474762776;5993579336
1683819803.700948;/sys/fs/cgroup/anon.slice/anon_service.service;5119;170308;0;615214
1683819803.700948;/sys/fs/cgroup/test.slice/test;58240600;23794967222;0;5982596060
1683819804.700134;#SYSTEM;53633901;24235313380;22463953427;5993409599
1683819804.700134;/sys/fs/cgroup/anon.slice/anon_service.service;6457;170052;0;620266
1683819804.700134;/sys/fs/cgroup/test.slice/test;53598604;24233078004;0;5985099045
1683819805.699306;#SYSTEM;55523311;23409408314;22471686819;5994016131
1683819805.699306;/sys/fs/cgroup/anon.slice/anon_service.service;5274;169664;0;619882
1683819805.699306;/sys/fs/cgroup/test.slice/test;55494954;23407543456;0;5986211158
1683819806.698493;#SYSTEM;61239740;24218694179;22413540218;5993151140
1683819806.698493;/sys/fs/cgroup/anon.slice/anon_service.service;6666;173032;0;625686
1683819806.698493;/sys/fs/cgroup/test.slice/test;61187772;24217635009;0;5971988589
1683819807.698386;#SYSTEM;58699376;21758437224;22509362580;5998471344
1683819807.698386;/sys/fs/cgroup/anon.slice/anon_service.service;7307;241463;0;651153
1683819807.698386;/sys/fs/cgroup/test.slice/test;58532467;21714504027;0;5986050981
1683819808.696830;#SYSTEM;70810348;22095395226;22393470241;5988385801
1683819808.696830;/sys/fs/cgroup/anon.slice/anon_service.service;5013;172007;0;598215
1683819808.696830;/sys/fs/cgroup/test.slice/test;70117026;21904049783;0;5936757404
1683819809.695979;#SYSTEM;56717438;24462261270;22473176554;5993448295
1683819809.695979;/sys/fs/cgroup/anon.slice/anon_service.service;4763;174618;0;630847
1683819809.695979;/sys/fs/cgroup/test.slice/test;56676987;24458857850;0;5985744753
1683819810.695164;#SYSTEM;58305496;24293891612;22412188901;5993576058
1683819810.695164;/sys/fs/cgroup/anon.slice/anon_service.service;5305;166496;0;611430
1683819810.695164;/sys/fs/cgroup/test.slice/test;58265396;24288663755;0;5976475478
1683819811.694358;#SYSTEM;55292863;23845225165;22404878736;5993356973
1683819811.694358;/sys/fs/cgroup/anon.slice/anon_service.service;5638;178438;0;625763
1683819811.694358;/sys/fs/cgroup/test.slice/test;55247813;23843335650;0;5971024401
1683819812.693531;#SYSTEM;55812121;23488054493;22477039581;5993784651
1683819812.693531;/sys/fs/cgroup/anon.slice/anon_service.service;5036;169690;0;602392
1683819812.693531;/sys/fs/cgroup/test.slice/test;55787030;23487746684;0;5989837730
1683819813.692712;#SYSTEM;61920754;23328843772;22485444051;5993736926
1683819813.692712;/sys/fs/cgroup/anon.slice/anon_service.service;5063;169889;0;608061
1683819813.692712;/sys/fs/cgroup/test.slice/test;61853756;23317479278;0;5985147228
